Session: 320,Game:,Wingman,User:,Survivor3
Game No.:,0
Day:,15,Month:,Feb,Year:,2017
Track:,Forest,Speed:,fast,Time:,30 (sec),
Target Angle:,42,Angle Incr:,1

BASIC DATA
Ring Num,Score,Arm Angle,Assisted
0,0,0.000,False
1,0,64.742,False
2,0,53.798,True
3,9,40.221,True
4,8,39.987,True
5,0,29.126,True
6,0,26.487,False
7,0,19.157,True
8,0,69.842,True
9,1,51.008,True
10,6,37.004,True
11,3,34.494,True
12,0,24.061,True
13,0,22.154,False

RAW DATA
BodyDepth, CentralPont (X | Y | Z),RightHand (X | Y | Z),LeftHand (X | Y | Z),RightElbow (X | Y | Z),LeftElbow (X | Y | Z),LeftAngle,RightAngle,Time,RingNumber,AchievementID
0.018,-0.005 | 6.663 | 0.032,0.078 | 6.528 | 0.058,0.033 | 6.480 | 0.097,0.273 | 6.628 | -0.022,-0.174 | 6.542 | 0.009,15.321,37.916,2017-02-15 11:44:05,4,316
0.017,-0.005 | 6.664 | 0.031,0.073 | 6.522 | 0.073,0.031 | 6.478 | 0.095,0.262 | 6.619 | -0.024,-0.175 | 6.542 | 0.007,15.882,33.978,2017-02-15 11:44:05,4,316
0.017,-0.005 | 6.663 | 0.031,0.067 | 6.523 | 0.105,0.029 | 6.510 | 0.086,0.243 | 6.605 | -0.023,-0.188 | 6.544 | 0.006,19.013,28.236,2017-02-15 11:44:06,4,316
0.018,-0.007 | 6.663 | 0.032,0.004 | 6.532 | 0.097,-0.009 | 6.478 | 0.070,0.201 | 6.581 | -0.017,-0.215 | 6.556 | -0.007,25.005,17.097,2017-02-15 11:44:06,4,316
0.019,-0.009 | 6.662 | 0.034,-0.021 | 6.523 | 0.084,-0.046 | 6.447 | 0.056,0.185 | 6.572 | -0.012,-0.231 | 6.568 | -0.018,27.771,14.385,2017-02-15 11:44:06,4,316
0.019,-0.010 | 6.662 | 0.034,-0.021 | 6.515 | 0.076,-0.026 | 6.492 | 0.065,0.187 | 6.572 | -0.012,-0.229 | 6.569 | -0.019,26.462,15.662,2017-02-15 11:44:06,4,316
0.018,-0.011 | 6.662 | 0.034,0.069 | 6.488 | 0.088,0.021 | 6.537 | 0.067,0.245 | 6.602 | -0.015,-0.202 | 6.555 | -0.001,18.227,32.472,2017-02-15 11:44:06,4,316
0.017,-0.010 | 6.663 | 0.032,0.135 | 6.521 | 0.085,0.047 | 6.538 | 0.067,0.295 | 6.655 | -0.020,-0.180 | 6.545 | 0.014,13.710,49.689,2017-02-15 11:44:07,4,316
0.017,-0.009 | 6.663 | 0.031,0.120 | 6.545 | 0.084,0.051 | 6.515 | 0.066,0.295 | 6.657 | -0.021,-0.175 | 6.540 | 0.015,14.408,48.199,2017-02-15 11:44:07,4,316
0.017,-0.007 | 6.663 | 0.030,0.103 | 6.534 | 0.080,0.049 | 6.509 | 0.065,0.279 | 6.639 | -0.031,-0.176 | 6.540 | 0.013,15.698,41.137,2017-02-15 11:44:07,4,316
0.017,-0.007 | 6.663 | 0.030,0.115 | 6.538 | 0.105,0.049 | 6.508 | 0.065,0.276 | 6.637 | -0.031,-0.176 | 6.540 | 0.012,16.077,39.987,2017-02-15 11:44:07,4,316
0.017,-0.006 | 6.663 | 0.030,0.133 | 6.549 | 0.098,0.049 | 6.508 | 0.065,0.294 | 6.657 | -0.032,-0.176 | 6.540 | 0.011,16.379,46.674,2017-02-15 11:44:07,5,316
0.017,-0.006 | 6.664 | 0.030,0.095 | 6.543 | 0.096,0.049 | 6.509 | 0.065,0.270 | 6.630 | -0.030,-0.176 | 6.540 | 0.010,16.479,37.240,2017-02-15 11:44:08,5,316
0.017,-0.005 | 6.663 | 0.030,0.080 | 6.529 | 0.117,0.049 | 6.508 | 0.065,0.247 | 6.608 | -0.025,-0.176 | 6.540 | 0.011,16.645,29.093,2017-02-15 11:44:08,5,316
0.018,-0.005 | 6.663 | 0.030,0.049 | 6.510 | 0.100,0.037 | 6.495 | 0.048,0.228 | 6.595 | -0.023,-0.189 | 6.543 | 0.013,19.592,23.402,2017-02-15 11:44:08,5,316
0.018,-0.007 | 6.663 | 0.031,-0.006 | 6.514 | 0.077,-0.011 | 6.465 | 0.071,0.197 | 6.579 | -0.016,-0.216 | 6.554 | 0.005,25.241,16.030,2017-02-15 11:44:08,5,316
0.019,-0.008 | 6.663 | 0.033,-0.018 | 6.503 | 0.066,-0.032 | 6.465 | 0.074,0.190 | 6.574 | -0.013,-0.229 | 6.563 | -0.004,27.444,15.155,2017-02-15 11:44:09,5,316
0.019,-0.009 | 6.663 | 0.033,-0.009 | 6.501 | 0.077,-0.021 | 6.469 | 0.059,0.193 | 6.574 | -0.014,-0.224 | 6.563 | -0.006,25.362,16.599,2017-02-15 11:44:09,5,316
0.019,-0.009 | 6.663 | 0.033,0.050 | 6.488 | 0.097,0.020 | 6.485 | 0.049,0.223 | 6.590 | -0.022,-0.199 | 6.552 | 0.006,18.318,25.247,2017-02-15 11:44:09,5,316
0.019,-0.008 | 6.663 | 0.034,0.085 | 6.495 | 0.102,0.043 | 6.493 | 0.051,0.246 | 6.606 | -0.026,-0.182 | 6.545 | 0.017,14.678,31.581,2017-02-15 11:44:09,5,316
0.019,-0.006 | 6.663 | 0.034,0.099 | 6.517 | 0.109,0.047 | 6.483 | 0.056,0.252 | 6.613 | -0.037,-0.176 | 6.543 | 0.018,14.698,32.610,2017-02-15 11:44:09,5,316
0.019,-0.005 | 6.663 | 0.034,0.087 | 6.521 | 0.117,0.046 | 6.479 | 0.056,0.243 | 6.606 | -0.035,-0.175 | 6.542 | 0.018,15.048,29.126,2017-02-15 11:44:10,5,316
