Session: 146,Game:,Wingman,User:,Survivor2
Game No.:,0
Day:,18,Month:,Sep,Year:,2017
Track:,Forest,Speed:,slow,Time:,120 (sec),
Target Angle:,45,Angle Incr:,1

BASIC DATA
Ring Num,Score,Arm Angle,Assisted
0,0,0.000,False
1,10,45.242,False
2,9,43.640,False
3,10,44.356,False
4,10,44.483,False
5,10,44.648,False
6,10,44.478,False
7,7,41.365,False
8,10,45.282,False
9,9,46.337,False
10,3,52.271,False
11,10,44.515,False
12,10,45.225,False
13,9,46.694,False

RAW DATA
BodyDepth, CentralPont (X | Y | Z),RightHand (X | Y | Z),LeftHand (X | Y | Z),RightElbow (X | Y | Z),LeftElbow (X | Y | Z),LeftAngle,RightAngle,Time,RingNumber,AchievementID
-0.066,0.012 | 6.673 | -0.039,0.453 | 6.433 | -0.039,-0.416 | 6.469 | 0.120,0.272 | 6.561 | -0.111,-0.256 | 6.589 | 0.000,39.286,39.906,2017-09-18 19:24:28,2,51
-0.066,0.012 | 6.673 | -0.039,0.457 | 6.437 | -0.040,-0.420 | 6.474 | 0.120,0.275 | 6.563 | -0.111,-0.258 | 6.591 | -0.001,39.908,40.607,2017-09-18 19:24:29,2,51
-0.066,0.012 | 6.673 | -0.039,0.461 | 6.440 | -0.043,-0.425 | 6.481 | 0.120,0.276 | 6.565 | -0.112,-0.261 | 6.592 | -0.001,40.775,41.199,2017-09-18 19:24:29,2,51
-0.067,0.012 | 6.673 | -0.039,0.462 | 6.442 | -0.045,-0.430 | 6.486 | 0.120,0.277 | 6.566 | -0.114,-0.263 | 6.594 | -0.001,41.578,41.556,2017-09-18 19:24:29,2,51
-0.068,0.012 | 6.673 | -0.040,0.462 | 6.442 | -0.046,-0.433 | 6.488 | 0.120,0.278 | 6.567 | -0.114,-0.265 | 6.596 | -0.002,42.191,41.701,2017-09-18 19:24:29,2,51
-0.068,0.012 | 6.673 | -0.040,0.463 | 6.442 | -0.047,-0.434 | 6.489 | 0.119,0.278 | 6.567 | -0.114,-0.266 | 6.596 | -0.003,42.722,41.703,2017-09-18 19:24:30,2,51
-0.068,0.012 | 6.673 | -0.041,0.463 | 6.442 | -0.051,-0.435 | 6.490 | 0.118,0.278 | 6.568 | -0.116,-0.268 | 6.597 | -0.003,43.239,41.660,2017-09-18 19:24:30,2,51
-0.068,0.012 | 6.673 | -0.041,0.462 | 6.441 | -0.054,-0.437 | 6.492 | 0.117,0.278 | 6.568 | -0.118,-0.269 | 6.598 | -0.004,43.741,41.552,2017-09-18 19:24:30,2,51
-0.069,0.012 | 6.673 | -0.042,0.461 | 6.440 | -0.057,-0.439 | 6.493 | 0.118,0.276 | 6.568 | -0.121,-0.270 | 6.599 | -0.004,44.074,41.301,2017-09-18 19:24:30,2,51
-0.069,0.011 | 6.673 | -0.042,0.459 | 6.439 | -0.059,-0.440 | 6.495 | 0.117,0.275 | 6.567 | -0.122,-0.271 | 6.599 | -0.004,44.331,41.013,2017-09-18 19:24:30,2,51
