Session: 147,Game:,Wingman,User:,Survivor2
Game No.:,0
Day:,18,Month:,Sep,Year:,2017
Track:,Forest,Speed:,medium,Time:,60 (sec),
Target Angle:,46,Angle Incr:,1

BASIC DATA
Ring Num,Score,Arm Angle,Assisted
0,0,0.000,False
1,8,48.150,False
2,0,23.769,False
3,10,45.562,False
4,6,50.184,False
5,10,46.871,False
6,0,21.538,False
7,2,54.795,False
8,6,41.315,False
9,8,43.532,False
10,10,46.230,False
11,5,51.273,False
12,8,43.325,False
13,9,44.179,False

RAW DATA
BodyDepth, CentralPont (X | Y | Z),RightHand (X | Y | Z),LeftHand (X | Y | Z),RightElbow (X | Y | Z),LeftElbow (X | Y | Z),LeftAngle,RightAngle,Time,RingNumber,AchievementID
0.031,-0.018 | 6.669 | 0.058,0.414 | 6.415 | 0.104,-0.417 | 6.397 | 0.134,0.236 | 6.548 | 0.032,-0.265 | 6.553 | 0.053,33.140,36.441,2017-09-18 19:28:56,4,53
0.031,-0.018 | 6.669 | 0.059,0.473 | 6.478 | 0.088,-0.489 | 6.468 | 0.122,0.275 | 6.582 | 0.019,-0.305 | 6.586 | 0.043,45.816,49.509,2017-09-18 19:28:56,4,53
0.030,-0.017 | 6.669 | 0.059,0.488 | 6.501 | 0.088,-0.511 | 6.497 | 0.118,0.287 | 6.596 | 0.017,-0.319 | 6.604 | 0.041,50.833,54.295,2017-09-18 19:28:56,4,53
0.030,-0.017 | 6.669 | 0.059,0.491 | 6.506 | 0.091,-0.520 | 6.507 | 0.113,0.291 | 6.600 | 0.018,-0.326 | 6.614 | 0.040,53.743,55.641,2017-09-18 19:28:57,4,53
0.029,-0.017 | 6.669 | 0.059,0.492 | 6.506 | 0.092,-0.520 | 6.507 | 0.111,0.292 | 6.601 | 0.020,-0.328 | 6.617 | 0.039,54.517,56.018,2017-09-18 19:28:57,4,53
0.029,-0.017 | 6.669 | 0.059,0.492 | 6.506 | 0.092,-0.519 | 6.505 | 0.110,0.292 | 6.601 | 0.020,-0.327 | 6.616 | 0.038,54.231,56.054,2017-09-18 19:28:57,4,53
0.029,-0.017 | 6.669 | 0.059,0.491 | 6.505 | 0.092,-0.518 | 6.502 | 0.109,0.291 | 6.601 | 0.021,-0.327 | 6.614 | 0.038,53.786,55.981,2017-09-18 19:28:57,4,53
0.029,-0.017 | 6.669 | 0.059,0.491 | 6.504 | 0.092,-0.514 | 6.495 | 0.110,0.291 | 6.601 | 0.021,-0.326 | 6.612 | 0.038,53.209,55.866,2017-09-18 19:28:58,4,53
0.029,-0.018 | 6.669 | 0.059,0.490 | 6.503 | 0.092,-0.503 | 6.481 | 0.113,0.290 | 6.601 | 0.020,-0.322 | 6.607 | 0.038,51.569,55.731,2017-09-18 19:28:58,4,53
0.029,-0.018 | 6.669 | 0.059,0.489 | 6.503 | 0.091,-0.500 | 6.477 | 0.114,0.290 | 6.601 | 0.020,-0.320 | 6.603 | 0.038,50.559,55.669,2017-09-18 19:28:58,4,53
0.029,-0.018 | 6.669 | 0.059,0.489 | 6.503 | 0.091,-0.500 | 6.477 | 0.115,0.290 | 6.601 | 0.020,-0.318 | 6.602 | 0.039,50.184,55.627,2017-09-18 19:28:58,4,53
0.029,-0.017 | 6.669 | 0.059,0.489 | 6.502 | 0.091,-0.499 | 6.477 | 0.115,0.290 | 6.601 | 0.020,-0.318 | 6.602 | 0.039,49.981,55.604,2017-09-18 19:28:58,5,53
